,property_name,from,to
0,rhizome_width,,
1,culm_external_texture_or_habit,,
2,culm_orientation,,
3,culm_fragility,,
4,culm_length,30cm,100cm
5,culm_width,0.3cm,0.5cm
6,culm_shape,,
7,culm_architecture_or_external_texture_or_relief,,
8,leaf_position,,
9,leaf_position,,
10,leaf_arrangement_or_shape,,
11,leaf_width,2cm,2.5cm
12,leaf_external_texture,,
13,leaf_relief,,
14,sheath_coloration,,
15,sheath_feature,,
16,bract_architecture,,
17,bract_length,,
18,bract_architecture_or_feature,,
19,panicle_architecture,,
20,panicle_architecture,,
21,panicle_size,25cm,30cm
22,panicle_architecture,,
23,branch_count,,
24,branch_shape,,
25,branch_length,4cm,10cm
26,branch_width,2cm,6cm
27,branch_count,,
28,peduncle_internal_texture,,
29,peduncle_position,,
30,peduncle_external_texture,,
31,peduncle_shape,,
32,axis_shape,,
33,axis_external_texture,,
34,bractlet_feature,,
35,bractlet_size,1mm,1.5mm
36,bractlet_external_texture,,
37,cladoprophyll_external_texture,,
38,spike_feature,,
39,spike_count,,
40,spike_reproduction,,
41,spike_feature_or_reproduction,,
42,spike_orientation,,
43,spike_size,7mm,18mm
44,spike_feature_or_reproduction,,
45,spike_length,6mm,7mm
46,spike_width,2mm,3mm
47,spike_length,,
48,spike_reproduction,,
49,spike_arrangement_or_shape,,
50,spike_count,,
51,spike_architecture,,
52,glume_coloration,,
53,glume_coloration,,
54,glume_shape,,
55,glume_size,6mm,7mm
56,glume_feature,,
57,glume_external_texture,,
58,glume_coloration,,
59,glume_coloration,,
60,glume_coloration,,
61,glume_shape,,
62,glume_size,4.5mm,5.5mm
63,glume_feature,,
64,glume_external_texture,,
65,utricle_coloration,,
66,utricle_coloration,,
67,utricle_height_or_length,,
68,utricle_shape,,
69,utricle_size,5.5mm,10mm
70,utricle_external_texture,,
71,utricle_count,,
72,utricle_architecture_or_feature,,
73,nutlet_coloration,,
74,"nutlet_maturity , elliptic , trigonous ,",3mm,3.5mm
75,base_width,,
76,stigma_count,,
